6711,alacejq,1956-02-01,132,0
23645,aslothx,1974-07-26,77,0
36894,soppyov,1961-11-22,194,0
38562,jmasofn,1999-05-10,227,0
39019,jberntk,1996-11-02,214,0
46011,achuec,1984-12-19,74,0
46246,dwye6v,1989-03-11,132,0
52566,cgottfs,1975-10-11,194,0
53944,abarzqa,1998-03-02,132,0
56230,bmaly6g,1961-04-12,238,0
73910,razampd,1969-11-05,159,0
75585,scadegc,1964-01-31,132,0
76049,dhoys1g,1953-09-27,157,0
81975,rsegor6,1952-11-17,238,0
98265,hwint7j,1968-06-28,212,0
2,cmathivat1,1959-08-14,132,0
3,mbarber2,1956-01-24,201,0
4,rinstock3,1982-09-03,99,0
5,lthebeau4,1969-01-27,77,0
6,gstainburn5,1993-05-10,238,0
7,jroyste6,1980-12-02,91,0
8,swiffler7,1952-04-28,52,0
9,jmarquot8,1966-11-17,219,0
10,mjaneczek9,1991-05-23,132,0
11,srotlaufa,1999-06-29,42,0
12,gfrippsb,1976-04-25,52,0
13,nthomasonc,1997-01-30,44,0
14,fsandfordd,1964-01-07,238,0
15,bwanee,1998-05-18,52,0
16,nbeadnellf,1992-01-08,227,0
17,edamatog,1987-04-26,238,0
18,ascandrooth,1968-05-02,46,0
19,ibelchemi,1985-11-19,238,0
20,abuxsyj,1996-04-29,132,0
21,gviversk,1988-04-22,132,0
22,nsandwithl,1976-09-22,97,0
23,glowndsboroughm,1997-07-02,40,0
24,pdarkinsn,1952-07-02,238,0
25,egiovanio,1972-01-11,217,0
26,bspilsburiep,1987-06-24,36,0
27,ctreherq,1950-12-13,219,0
28,kslevinr,1999-01-25,15,0
29,jferreris,2000-02-12,147,0
30,nlutert,1949-07-21,46,0
31,cvergineu,1973-10-05,132,0
32,tshellumv,1991-07-16,132,0
33,mwinchcumw,1957-09-06,100,0
34,pcogarx,1993-11-29,33,0
35,jlorriey,1961-11-21,52,0
36,akillnerz,1991-03-31,104,0
37,ekuscha10,1949-05-06,131,0
38,gseers11,1985-09-20,194,0
39,vstable12,1974-01-12,238,0
40,apenhaleurack13,1962-07-30,238,0
41,hdubble14,1975-05-25,204,0
42,ppampling15,1966-02-21,238,0
